match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-1003-300,2023-1003,Doha,20230213,300,32,P,3,F,69.0,202468,Jessica Pegula,2.0,-0.7356258970438635,5000.0,28.9,170.0,0,0.0,4.0,49.0,30.0,14.0,5.0,7.0,3.0,9.0,0.4666666666666667,0,0,0,1
2023-1005-270,2023-1005,Rabat,20230522,270,32,I,3,R32,106.0,201585,Sloane Stephens,2.0,-0.2968219120590203,1280.0,30.1,170.0,0,0.0,3.0,75.0,49.0,32.0,12.0,11.0,2.0,5.0,0.6530612244897959,1,1,0,0
2023-1005-270,2023-1005,Rabat,20230522,270,32,I,3,R32,106.0,201329,Vera Zvonareva,9.024390243902438,9.554921412551266,5.0,38.7,172.0,0,0.0,2.0,66.0,41.0,22.0,13.0,11.0,6.0,11.0,0.5365853658536586,0,1,0,0
2023-1005-272,2023-1005,Rabat,20230522,272,32,I,3,R32,55.0,220548,Peyton Stearns,9.024390243902438,0.1611482511950129,806.0,21.6,174.55169772785294,0,0.0,1.0,38.0,30.0,20.0,5.0,7.0,0.0,1.0,0.6666666666666666,1,1,0,0
2023-1005-272,2023-1005,Rabat,20230522,272,32,I,3,R32,55.0,215910,Panna Udvardy,9.024390243902438,0.0201770127004115,675.0,24.6,170.0,0,2.0,2.0,44.0,32.0,14.0,1.0,7.0,2.0,8.0,0.4375,0,1,0,0
2023-1005-273,2023-1005,Rabat,20230522,273,32,I,3,R32,85.0,220367,Leylah Fernandez,5.0,-0.0813065411159458,1023.0,20.7,168.0,1,1.0,5.0,60.0,38.0,29.0,9.0,10.0,1.0,3.0,0.7631578947368421,1,1,0,0
2023-1005-273,2023-1005,Rabat,20230522,273,32,I,3,R32,85.0,214236,Angela Fita Boluda,9.024390243902438,1.6314491499574373,219.0,23.8,174.55169772785294,0,2.0,1.0,52.0,37.0,24.0,5.0,9.0,4.0,8.0,0.6486486486486487,0,1,0,0
2023-1005-274,2023-1005,Rabat,20230522,274,32,I,3,R32,109.0,219917,Alycia Parks,4.0,-0.1082459624838301,1049.0,22.3,185.0,0,8.0,6.0,71.0,31.0,20.0,22.0,11.0,2.0,6.0,0.6451612903225806,1,1,0,0
2023-1005-274,2023-1005,Rabat,20230522,274,32,I,3,R32,109.0,221073,Anastasia Tikhonova,9.024390243902438,1.1912562464800025,291.0,22.3,174.55169772785294,0,0.0,3.0,72.0,43.0,25.0,11.0,10.0,4.0,9.0,0.5813953488372093,0,1,0,0
2023-1005-275,2023-1005,Rabat,20230522,275,32,I,3,R32,73.0,215872,Kamilla Rakhimova,9.024390243902438,0.3766636221380873,735.0,21.7,174.55169772785294,0,3.0,2.0,49.0,30.0,17.0,13.0,9.0,0.0,2.0,0.5666666666666667,1,1,0,0
